Cluster 3 - Alle Spieler:

 AGE  OFF_RATING_Advanced  DEF_RATING_Advanced  NET_RATING_Advanced  E_TOV_PCT_Advanced  EFG_PCT_Advanced  USG_PCT_Advanced  PACE_Advanced  PIE_Advanced  POSS_Advanced  USG_PCT_Usage  PCT_FGM_Usage  PCT_FG3M_Usage  PCT_FTM_Usage  PCT_OREB_Usage  PCT_DREB_Usage  PCT_AST_Usage  PCT_TOV_Usage  PCT_STL_Usage  PCT_BLK_Usage  PCT_PF_Usage  PCT_PFD_Usage  PCT_PTS_2PT_Scoring  PCT_PTS_2PT_MR_Scoring  PCT_PTS_3PT_Scoring  PCT_PTS_FB_Scoring  PCT_PTS_FT_Scoring  OPP_PTS_OFF_TOV_Defense  OPP_PTS_2ND_CHANCE_Defense  OPP_PTS_FB_Defense  OPP_PTS_PAINT_Defense  DEF_WS_Defense  DEF_WS_RAW_Defense
25.0                112.6                109.7                  2.9                 7.6             0.539             0.130          99.25         0.078           1383          0.130          0.132           0.235          0.027           0.094           0.115          0.268          0.121          0.183          0.067         0.158          0.033                0.370                   0.080                0.600               0.165               0.030                      245                         190                 189                    628            2.45            2.447606
26.0                106.4                119.3                -12.9                 9.8             0.513             0.167         100.49         0.067           1052          0.167          0.167           0.190          0.205           0.211           0.186          0.087          0.140          0.284          0.214         0.235          0.194                0.429                   0.020                0.398               0.173               0.173                      213                         172                 178                    570            0.51            0.507844
21.0                109.3                111.4                 -2.1                 9.4             0.553             0.243          98.18         0.106           1210          0.243          0.264           0.354          0.219           0.100           0.120          0.221          0.213          0.146          0.000         0.162          0.188                0.426                   0.051                0.435               0.182               0.139                      216                         167                 199                    590            1.93            1.927208
26.0                115.6                112.2                  3.3                14.0             0.525             0.116         100.61         0.082           1215          0.116          0.119           0.051          0.084           0.444           0.300          0.135          0.158          0.347          0.270         0.262          0.168                0.680                   0.000                0.184               0.150               0.136                      213                         173                 209                    626            1.80            1.798367
27.0                111.0                110.1                  0.8                 8.5             0.648             0.194         106.71         0.108           1668          0.194          0.241           0.320          0.150           0.178           0.182          0.083          0.127          0.123          0.523         0.265          0.144                0.346                   0.009                0.554               0.144               0.100                      336                         242                 281                    810            2.77            2.774518
23.0                115.2                109.6                  5.6                 4.7             0.558             0.115         101.98         0.057           1101          0.115          0.126           0.133          0.134           0.198           0.081          0.094          0.057          0.336          0.045         0.272          0.140                0.417                   0.012                0.405               0.117               0.178                      159                         149                 161                    526            2.07            2.065569
23.0                121.0                103.0                 17.9                 9.0             0.577             0.141         102.70         0.124           1678          0.141          0.133           0.205          0.083           0.271           0.364          0.267          0.179          0.144          0.392         0.252          0.145                0.259                   0.029                0.658               0.036               0.083                      243                         227                 180                    648            4.50            4.502116
22.0                108.4                108.8                 -0.4                11.3             0.497             0.164         101.31         0.075            957          0.164          0.164           0.157          0.148           0.257           0.172          0.190          0.159          0.197          0.081         0.286          0.164                0.527                   0.036                0.359               0.150               0.114                      173                         128                 170                    448            1.83            1.827014
28.0                107.6                116.7                 -9.2                 4.4             0.548             0.176          99.32         0.106           1291          0.176          0.220           0.181          0.153           0.076           0.128          0.292          0.088          0.233          0.185         0.124          0.159                0.589                   0.147                0.295               0.091               0.116                      193                         207                 210                    686            1.08            1.077697
26.0                111.5                109.1                  2.4                23.1             0.634             0.074          98.70         0.070           1295          0.074          0.085           0.000          0.042           0.493           0.291          0.104          0.168          0.097          0.463         0.290          0.097                0.918                   0.020                0.000               0.051               0.082                      226                         177                 204                    608            2.45            2.449907
